,id,free_text,CLEAN,OFFENSIVE,HATE,label_id 
46,test_ciorvqfrlj,"nghe nặng lời thế thím. E đi làm thuê, đã hó hé câu nào đâu",1,0,0,0
47,test_lnsozvvqnt,"vào otofun cmt kiểu gì cũng bị chửi , cũng "" thuê mặt bằng chứ k thuê vỉa hè thuê đường "" 🤣 Má nhớ ngày xưa thuê ở Bạch Mai, 1 tuần thì 6 ngày có xe chắn trc cửa, cửa hàng thì bé cay vcl.",0,1,0,1
48,test_jrsasbwqjh,"Ko quên được ạ, gắn liền với bao ký ức",1,0,0,0
49,test_bzjekcdyjf,Sống mà toàn nghĩ quá khứ hoài vậy,1,0,0,0
50,test_ubzsnsgstz,"Năm đó cả cty cùng Sếp đi xem bóng hết, Sếp giao cho cục tiền hơn 300 triệu mới thu của khách để đi xem bóng, thế là có màn t cùng một bé vp nữa cầm hơn 300 triệu đi coi đá bóng.",1,0,0,0
51,test_kflzomhqgg,Việt Nam muôn năm mà,1,0,0,0
52,test_zmhorwuuae,Tự hào 2 tiếng Việt Nam,1,0,0,0
53,test_eilckxoelj,câu like câu view ít thôi,1,0,0,0
54,test_uyejiqxypy,Hình ảnh đẹp và quá tuyệt vời,1,0,0,0
55,test_doszrkbcbj,Và hôm đó ngồi xem trận này tôi đã khóc vì thương các chàng trai ấy. Trận Bóng có 1 không 2 nhớ mãi không quên được!,1,0,0,0
56,test_nsumdemkvt,"Bóng đá Việt Nam ngày nào có đi lên đỉnh cao lần nữa không, thì phải xem lần này ta đi đến đâu. Mong là sẽ có được chiến thắng vang dội.",1,0,0,0
57,test_ihakojpkiv,Bình thường mà,1,0,0,0
58,test_dlzmspwtod,"Tân ơi, tân có quốc tịch Việt Nam ko ?",1,0,0,0
59,test_vlomfbcyvv,"nhà tôi mất nước có 1 ngày thôi mà đã muốn khóc rồi, tân mất nước mấy chục năm chắc sống không bằng chớt mất, bạn ko thương còn hỏi câu khó vậy sao tân trả lời được",1,0,0,0
60,test_wcgjycndhr,Chiêm nghiệm đã thấy,1,0,0,0
61,test_qcvwpuydvp,uống miếng nước cho đỡ khát đi tân,1,0,0,0
62,test_ilcqpjrbzq,"Bộ máy cồng kềnh Tân chê, chi tiền để tinh gọn bộ máy Tân cũng chê, Tân chê mọi thứ trên đời dính đến VN, nhưng bên Mỹ thì không thấy Tân chê cái gì, tỉ lệ thất nghiệp ở mức cao",1,0,0,0
63,test_lqhyeuywuu,Mày ngu quá tân à. Chính sách hẳn hoi đó thằng ngu. Mày bu càng thì làm đế..ch gì có chính sách. Tết này bên đó lạnh không,0,0,1,2
64,test_xzvmfwniwg,"Tân viết cái gì tào lao quài vậy , tân hãy viết ra nhật ký đu càng của tân đi nhiều like và chia sẻ lắm á 😃",1,0,0,0
65,test_ypiwflfpds,"đu sang Mỹ có bữa xong cay mấy chục năm, ngày nào cũng lên cắn ngang cắn ngược",1,0,0,0
66,test_biysuvxuqr,"cay nhất là mấy bác lấy cái cổng dinh độc lập , nên tân cay tới bây giờ 😁",1,0,0,0
67,test_bzfnxgmnpk,Mỗi năm là dịp lụm tiền cho đầy túi riêng qua các công trình chỉnh sửa... Tha hồ mà lụm tiền thuế của người dân...,1,0,0,0
68,test_pnoekbmzbl,Tết là phải có đào.,1,0,0,0
69,test_yvqhumusut,Màn trời chiếu đất thì không cần sửa là đúng rồi. Nhà cửa đàng hoàng thì phải sửa sang chứ,1,0,0,0
70,test_eatxtvsjpm,"Thế tết đến Tân không sửa sang à, mà Tân có nhà không",1,0,0,0
71,test_cqjdsxbhpl,Nước còn không có thì sao có nhà được ạ 🤣,1,0,0,0
72,test_khlrvguakb,"họ có quốc tịch mỹ, quốc tịch nước ngoài mà tụi bây thèm thấy mọe, nhưng xạo lồn chê đồ đó",0,1,0,1
73,test_gtjizbmpxn,"Mỗi lần buồn là lại vô trang của tân coi để cười dô mặt tân, đăng mấy cái giải trí thật🤣",1,0,0,0
74,test_fzvrrsqhal,Cách nhận biết mùa tết đang đến,1,0,0,0
75,test_gbqedfmugr,Sài Gòn cũng có Đào 🍑 nữa,1,0,0,0
76,test_ujlllxusos,"chán và bực thiệt sự luôn đó bạn ! Bình thường hổng làm đâu, gần Tết thì khui ra làm.",1,0,0,0
77,test_ffiozfmkhs,Có sẵn tiền thuế nên cứ tết đến là đào,1,0,0,0
78,test_zmawzgjpxc,Sống dưới chế độ của thằng độc tài vô nhân tính thì chết sẽ sướng hơn đó.,0,0,1,2
79,test_wauxijnbzq,Đúng là cộng sản ngu lâu dốt bền vững nè...,0,0,1,2
80,test_wdutshpgus,Ngu thì chết chứ bệnh tật gì,0,1,0,1
81,test_lpljcsgoha,Ảnh chụp hồi ký ấy đâu. Camera máy ảnh giờ có ở khắp nơi sao không chụp vậy?,1,0,0,0
82,test_rijqzvltlj,Tuân theo mệnh lệnh của một kẻ vô nhân tính là dở rồi,0,0,1,2
83,test_mexkguzyns,Mấy ae bắc kì con rơi mẹ tàu bố nga mãi vẫn chưa thấy a nào vác aka giải phóng UK hết chán mấy a quá,0,0,1,2
84,test_psgzotluxg,Chúng nó bị nhồi sọ. Hy sinh cho cái tôi của thằng đứng đâu...chơi ngu lấy tiếng thôi...hay là :1 là chết trận..2 là chết trong tù...nếu k đi đánh trận thì sẽ bị bỏ tù,0,0,1,2
85,test_bdgccvnvly,Tất cả chỉ để phục vụ 1 con lợn. Không khác gì lính việt cộng ngày xưa,0,0,1,2
86,test_mqmgqobwto,"Thời tổng thống Carter, Mỹ có nhiều chính sách sai lầm, một trong số đó là giao lại kinh đào cho Panama .",1,0,0,0
87,test_jsuuamniiv,Hoan hô Việt Tân đưa tin rất hay và thời sự,1,0,0,0
88,test_rkfqruglke,Mấy thằng cs thối tha tanh hôi độc ác mà nó còn sống thọ hơn cả ông,0,0,1,2
89,test_qbldxycvzs,"một đời cống hiến, mong ông an nghỉ!",1,0,0,0
90,test_ihfsnedhuv,cô gái ư :)) thay đổi thành vợ dần đi là vừa,1,0,0,0
91,test_tnzkktrvyu,vườn nhà cô ấy nhưng ko nói ai chăm 😂,1,0,0,0
92,test_oygzoqrvrv,giải thích hộ mik vs bạn:),1,0,0,0
93,test_ubgkobqpgo,thời buổi này mà có cô gái tuyệt cmn vời như vậy phải hốt ngay chứ còn gì nữa.,0,1,0,1
94,test_albvacbawc,Tôi không chê nhưng để tôi về xin phép vợ tôi đã,1,0,0,0
95,test_lvbaocdjbk,Để tôi xin hộ bro Trần Trang Chị ơi anh nhà mình có nguyện vọng ạ 🤡,1,0,0,0
96,test_snooymcsja,người tàn ác thường sống thảnh thơi,1,0,0,0
97,test_ggmlxlhjbc,"hăm rau củ quả là nghệ thuật, người chăm là cả một nghệ sĩ, và nghệ sĩ ấy là 1 cô gái trẻ thì chắc chắn là vợ tôi. Ông nghĩ xem, mỗi ngày bữa cơm của ông toàn những củ quả siêu sạch, ko phải lo về ba cái đồ thuốc như vụ giá đỗ BHX chẳng hạn =)) nghĩ thôi đã muốn lấy cô ấy làm vợ rồi",1,0,0,0
98,test_feljjxzmsm,"bạn suy nghĩ xa quá dồi, vợ tôi bị dạ dày nên tôi phải hỏi cho kỹ, chứ lấy ớt về ko ăn đc thì tôi lại phải ăn hết ah 🤤",1,0,0,0
99,test_istfdmpefe,Nhiều yếu tố :)) Hiếm có ai trồng cây trồng hoa quả mà tính cách cục xúc . Họ rất điềm tĩnh và kiên nhẫn. 2 thứ ấy là 2 thứ rất ít bà vợ nào trên đời này đạt được :))),1,0,0,0
100,test_rfmndvfzoz,"Đồ nhà tui trồng được ai quý lắm mới cho đó, tiến lên bồ ơi.",1,0,0,0
101,test_jwktvkvtni,"Tôi cũng thích trồng nọ trồng kia mà khổ trồng cái gì chết cái đấy. Duy nhất 1 cây sống trong tay tôi vẫn tốt là cây lưỡi hổ, nó còn cao bằng tôi luôn. 😑",1,0,0,0
102,test_faxtxqkqfu,"trồng được lưỡi hổ là giỏi rùi á. Văn phòng tui có cây lưỡi hổ mà để vài tuần là nó vàng vọt ỉu xìu hết luôn, không biết có ai đổ bã trà hay cà phê vào nó nhiều quá hem mà trông nó buồn ngang 😂",1,0,0,0
103,test_hdqylqpjxr,"trc tôi để trong nhà xong nó cữ oặt oèo, thế là tôi mang ra sân để nó tự sinh tự diệt thì nó sống tốt, nó còn nở cả hoa, việc duy nhất tôi là là nhìn nó thôi",1,0,0,0
104,test_pcobpaipfl,Ăn cà chua trồng tại nhà ăn sống ngon ngọt giòn,1,0,0,0
105,test_xkfvlcmads,này là yêu thôi đừng cưới =)),1,0,0,0
106,test_pwvnhozkpa,sắp 2025 rồi mà nói mồm ai tin được🐧,1,0,0,0
107,test_wpzxslnhet,"tôi ko tin, bằng chứng đâu",1,0,0,0
108,test_tudgzbdfca,Bên tiktok cũng có 1 bà chuyên chia sẻ giỏ thu hoạch của bà ấy đem tặng mỗi khi được mời qua nhà chồng tương lai ăn tối. Đáng yêu lắm luôn í.,1,0,0,0
109,test_icpiqjxtpf,cho mình xin tên với ạ,1,0,0,0
110,test_kojawqguro,Mua thêm tí sườn với ớt chuông làm sườn xào chua ngọt rồi mời cổ qua 😗,1,0,0,0
111,test_rnrbxyafym,"mua cả ớt chuông nữa, đảm bảo gấp đôi độ ngon 😋",1,0,0,0
112,test_fqvqgqnptg,Đi chọn nhẫn cưới dần đi chứ còn gì nữa,1,0,0,0
113,test_hzogkdjrdm,có bé hàng xóm nào tặng a chưa,1,0,0,0
114,test_fscpdulnxj,bị lừa đấy,1,0,0,0
115,test_aibiirfegr,được anh này tặng hải sản cho thì cũng bá cháy :v,1,0,0,0
116,test_bqxbtzfrxa,Đáng yêu thật sự,1,0,0,0
117,test_pqtzdnjcvq,Dễ thương,1,0,0,0
118,test_pijsjxqwau,"T có trồng cây cốc thái, chắc hái quả đem tặng cùng vs chén muối ớt",1,0,0,0
119,test_eldiuivoho,Vườn nhà tôi cũng có 🌝,1,0,0,0
120,test_tgyadbxzeu,Dễ thương thật sự,1,0,0,0
121,test_oodklpskgy,Nhà tui chỉ có mít thái 🤭,1,0,0,0
122,test_bldlxmkxtg,Dm đi mua nhẫn ngay,0,1,0,1
123,test_lrgcnerhqg,Đi mua nhẫn cưới thôi,1,0,0,0
124,test_rwxqlhdupp,"Quý lắm mới tặng í nhe, trồng cà chua ko có dễ.",1,0,0,0
125,test_xgdxwtqglk,vô duyên vc ??,0,1,0,1
126,test_stykeyozth,ý là vô duyên vc ạ?,0,1,0,1
127,test_mhgwyeqwln,Khán giả văn minh ghê 🤡,1,0,0,0
128,test_qsrcyagfjt,bị nhét chữ vào mồm=)),1,0,0,0
129,test_nnyolgtwgj,"vô duyên vãi, nhỏ nào hô xong thấy mấy bài này thì tự ái r kiểm điểm lại nết của mình đi",1,0,0,0
130,test_aeifqjgrcv,Vô duyên mà tưởng mình hài hước 🥰,1,0,0,0
131,test_itmznlgomd,Khán giả vô duyên thật sự,0,0,1,2
132,test_bvqzvviuho,bớt vô duyên để người ta còn làm bạn được với nhau,1,0,0,0
133,test_jffteyfsoc,Vô duyên vcl cmày bị lsao đấy ?,0,0,1,2
134,test_tnunkcteun,Vô duyên thì thôi,1,0,0,0
135,test_edxjmvtqix,vd vãi đcm,0,1,0,1
136,test_eprrgzmcqp,Tha cho chị đi mấy đứa,1,0,0,0
137,test_gzlewcrbob,t thấy chia tay rồi cứ réo tên nyc nó bị khó chịu ấy. Rưởng tượng mình với thằng nyc hãm loz chia tay lâu rồi mà bạn bè cứ nhắc đi nhắc lại ấy,0,0,1,2
138,test_lyytpxxjyl,tội tàng trữ sắc đẹp trái phép,1,0,0,0
139,test_efnlugxekm,đùa em :))),1,0,0,0
140,test_kpcqkaxgsp,Thầy lại theo bạn gia nhập băng đảng à thầy? Thôi đi làm bảo vệ cho nó thiện lành,1,0,0,0
141,test_qrdrfwcjcv,E nghĩ thầy nên làm diễn viên hài sẽ nhiều tiền và nổi tiếng nhanh hơn ạ,1,0,0,0
142,test_btvchlbffw,2 anh em ruột hay sao mà pose dáng y nhau thế ạ? :))),1,0,0,0
143,test_vypqiypkcv,Chắc là anh nhớ nghề diễn viên thôi đúng k ạ:))),1,0,0,0
144,test_ztdqfdvfpk,Thầy ko làm diễn viên thật lãng phí 1 tài năng ạ😅,1,0,0,0
145,test_rduoqyrvng,Thầy đóng phim nào v thầy,1,0,0,0
146,test_hyadntatkb,pose cái dáng chuẩn đét thầy ạ,1,0,0,0
147,test_ontphyldhv,chưa lên lớp là tranh thủ tấu hài luôn ạ :)),1,0,0,0
148,test_nopwvuhhix,Chắc là thầy lại đang đóng phim thôi 😆,1,0,0,0
149,test_opzbrmniec,Anh lại ko đội mũ đúng không a,1,0,0,0
150,test_rztvihrxwx,Em chịu anh,1,0,0,0
151,test_tuprdfeunt,Chắc cũng mất kha khá a nhỉ =))),1,0,0,0
152,test_pypslcvykm,"Cái câu "" Anh ơi có gì bỏ qua dùm em"" tiếng anh là gì á thầy nhỉ :>>",1,0,0,0
153,test_lgcjgajfol,Đi xem chọn nhầm bản lồng tiếng việt mới chối 😣😣,1,0,0,0
154,test_amszaqbpsc,chỗ tui có mỗi bản phụ đề thôi,1,0,0,0
155,test_szhatwzclc,"ôi. xem lại bản phụ đề đi bạn, loa trong rạp khiến giọng Howl đỉnh cao lém. nghe mà phê gì đâu",1,0,0,0
156,test_nmsucrojma,Netflix có mà cứ thích đi xem rạp v. Mình hôm qua đi xem lại r. Đúng đỉnh điên 😆😆,1,0,0,0
157,test_gemnxsijpr,tại xem rạp cái nhan sắc ấy nó được phóng to rồi đập thẳng vô mặt ấy,1,0,0,0
158,test_ntmxmhojzl,Á chồng iu ơi 🤣🤣🤣,1,0,0,0
159,test_pbdkzvvsjo,Chồng iu :)))),1,0,0,0
160,test_ozojrxeoit,T nghe bản tiếng Anh từ đầu 😅😅,1,0,0,0
161,test_dptcznaenh,Nay đi xem: vé thì phụ đề nhưng lại được nghe lồng tiếng 🤡,1,0,0,0
162,test_pxbvhbtgpn,Đẹp trai quá :3,1,0,0,0
163,test_hnhqwjxbfz,"a này là thần tượng của chị đấy. Chị mê a này lắm, xem gần hết phim a ý đóng rồi.",1,0,0,0
164,test_cijnczreos,Ng đàn ông đẹp trai nhất Nhật Bản nè,1,0,0,0
165,test_aivfvkgoqj,Quá đẹp 😍,1,0,0,0
166,test_sdcshkgtqw,Ủa là người ta làm lại phim hoạt hình bản mới hả?,1,0,0,0
167,test_vqwevsplyh,Trời Howl phiên bản thật,1,0,0,0
168,test_oxmkshslru,Tuy anh ở dơ nhưng vì anh đẹp trai nên em tha thứ :))))),1,0,0,0
169,test_jnydltjlnl,Sao ảnh giống nguyên mẫu Howl vậy trời,1,0,0,0
170,test_pidmgmypiy,Gấp đôi sự đẹp trai,1,0,0,0
171,test_meviadpals,nghe giọng mún gụng trứng,1,0,0,0
172,test_qnqoraddxa,Đẹp từ ở phim ra đến đời thực,1,0,0,0
173,test_pukjmqbeva,Xem hôm qua hay lắm luôn nha,1,0,0,0
174,test_onmflfvyei,"Moá, đẹp như Howl",1,0,0,0
175,test_acwhlfwgyt,giờ xem lại lần nữa ko nhỉ,1,0,0,0
176,test_zwdfpekrom,chờ em anh oii,1,0,0,0
177,test_zqqjmmveet,Còn ai thích hợp hơn a để nói câu này nữa 😌,1,0,0,0
178,test_gwlrmhakon,Thầy kì thị à mà k cho ôm nhau🤣🤣🤣,1,0,0,0
179,test_zgngzbfnws,Vẫn sợ như ngày nào🥹,1,0,0,0
180,test_nhdgfhqegw,Quen quen=)),1,0,0,0
181,test_fzlzwpaukj,trc Xuân học thầy này nhỉ =)) hài vc,0,1,0,1
182,test_qaqhzcktyw,Cấm khác mới hài. Thầy độc tài quá.,1,0,0,0
183,test_ttmisdweyf,Đọc cái biết ngay ai 🤣,1,0,0,0
184,test_kowjhxdoka,eh mà trông bạn nữ ngồi trên đùi bạn nam trông nhỏ xíu đáng yêu nhò,1,0,0,0
185,test_mllgwqoxtl,Chúc mừng 2 bà nha,1,0,0,0
186,test_lnaoowhazi,Tích cực giữa đống tiêu cực,1,0,0,0
187,test_zecivggsaf,"Việt Nam ăn may lợi thế sân nhà,khí hậu,khán giả thôi. Sang Singapore đấu là thua ngay",1,0,0,0
188,test_jtgdltxnai,sau cứ nói cả nhà tôi bị ngu là dc,0,0,1,2
189,test_awwuqvgatf,"vừa đá ở Sing thắng 2-0 về rồi mà thằng ngáo chó, sau cứ nói ""tôi bị ngu"" là được",0,0,1,2
190,test_gzeiuhageu,mâm nào cũng có mặt m :)),1,0,0,0
191,test_wuesccjrhr,"cháu còn nhỏ mà phát biểu liều thế cháu ?? Thôi cháu cứ xem concept đi chứ đừng bóng bánh làm gì nhé và bớt cmt đi cháu ạ .. k các bác , các anh , các chú lại chửi cho tội ra 🙂‍↔️",1,0,0,0
192,test_bdonmbcvdm,"m ko xem lượt đi hả,sau này cứ cmt tao bị thiểu năng là được",0,0,1,2
193,test_mbtvwgbjmt,"Lần sau không cần comment như này đâu bạn, chỉ cần câu ""tôi bị ngu"" là người ta hiểu rồi",0,0,1,2
194,test_kdodwanniz,"thằng loz này cắn bậy cắn bạ từ page này đến chỗ khác, đói khát lắm hả mày ??",0,0,1,2
195,test_humqlolkjv,rồi làm két bia thôi.,1,0,0,0
196,test_nyqzfhvwea,thế cổ động viên của họ có 3 người thôi à bạn,1,0,0,0
197,test_qrzesdszic,tặng 3 trái cho 3 người hâm mộ 😂,1,0,0,0
198,test_jajwvsifug,trà tam rượu tứ. Đi uống nước chè là ổn áp rồi bác,1,0,0,0
199,test_nkeriyartp,cmt cười vl,0,1,0,1
200,test_ymcnpcmrjp,ý là đây là hình ảnh tích cực giữa một trận đấu mà đội nhà bị hấp diêm thôi chứ có phải nói cđv VN là tiêu cực đâu. Chính sân Phú Thọ đã hỗ trợ miễn phí vé vào cổng cho cđv Singapore là ngta cũng đủ hiểu người nước bạn ở bên mình ít cỡ nào mà.,1,0,0,0
201,test_wgbeliryoh,biết bắt bẻ đấy nhưng k hiểu,1,0,0,0
202,test_bnthjytwpb,Có vẻ họ cũng là những cổ động viên tích cực nhiệt tình của đội tuyển nước họ giống như chúng ta mà..dù khó khăn nhưng họ vẫn đến cổ vũ và xem đội nhà trong cái thời tiết lạnh thế này..mng nên thả tim cho họ chứ nhỉ ❤️❤️❤️,1,0,0,0
203,test_nwmmafydhn,Hãy cứ vô tư và lạc quan lên em ơi...,1,0,0,0
204,test_bnkcabcwpg,Thế thì miễn phí vé là đúng rồi lấy mang tiếng,1,0,0,0
205,test_najgvdhajo,"Nãy xem cứ tưởng bị sao mà có công an đứng cạnh, tưởng vi phạm gì nên bị cách ly. Kể cũng tội mà thôi kệ",1,0,0,0
